학교명,도로명상세주소
서울난곡초등학교,"(신림동/ 난곡초등학교)"
서울구암초등학교,"/ 서울구암초등학교 (봉천동)"
서울관악초등학교,"/ 관악초등학교 (봉천동/관악초등학교)"
서울강남초등학교,(상도1동)
상일중학교,"(상일동/ 상일여자중학교)"
위례솔중학교,"/ 위례솔중학교 (거여동)"
서울위례솔초등학교,"/ 12"
강빛중학교,"(강일동/ 강빛초중통합학교)"
서울강빛초등학교,"(강일동, 강빛초중통합학교)"
서울고현초등학교,"/ 서울고현초등학교"
해누리중학교,"/ 해누리중학교 (가락동)"
서울해누리초등학교,(가락동)
서울강솔초등학교,"/ 서울강솔초등학교 (강일동)"
서울위례별초등학교,"/ 서울위례별초등학교 (장지동)"
한영중학교,"/ 한영중학교 (상일동)"
한산중학교,(둔촌동)
풍성중학교,"(풍납동/ 풍성중학교)"
풍납중학교,(풍납동)
천호중학교,(천호동)
천일중학교,(천호동/천일중학교)
정신여자중학교,"/ 정신여자중학교 (잠실동)"
잠실중학교,(신천동)
잠신중학교,"/ 잠신중학교 (잠실동)"
일신여자중학교,(송파동/일신여자중학교)
오주중학교,"(오금동/ 오주중학교)"
오륜중학교,(방이동/오륜중학교)
오금중학교,(오금동/오금중학교)
영파여자중학교,(풍납동)
아주중학교,"/ 아주중학교 (잠실동)"
신천중학교,"/ 신천중학교 (잠실동)"
신암중학교,"/ 신암중학교 (암사동)"
신명중학교,(길동)
송파중학교,"(가락동/ 송파중학교)"
송례중학교,(장지동)
세륜중학교,(오금동/세륜중학교)
성덕여자중학교,"(천호동/ 성덕여자중학교)"
성내중학교,(성내동/성내중학교)
석촌중학교,(가락동)
서울체육중학교,"/ 서울체육중학교 (방이동)"
보인중학교,"(오금동/ 보인중고등학교)"
보성중학교,(방이동/보성중고등학교)
배재중학교,"(고덕동/ 배재중학교)"
배명중학교,(삼전동/배명중고등학교)
방이중학교,(방이동/방이중학교)
방산중학교,"(방이동/ 방산중학교)"
문현중학교,"(장지동/ 문현중학교)"
문정중학교,"(문정동/ 문정중학교)"
명일중학교,(고덕동/명일중학교)
둔촌중학교,(둔촌동)
동신중학교,"(천호동/ 동신중학교)"
동북중학교,(둔촌동)
고덕중학교,(고덕동)
거원중학교,(거여동/거원중학교)
강일중학교,(암사동414-17)
강명중학교,"(강일동/ 강명중학교)"
강동중학교,"/ 강동중학교 (강일동)"
가원중학교,(가락동/가원중학교)
가락중학교,(송파동/가락중학교)
서울한산초등학교,"(서울한산초등학교/ 둔촌동)"
서울풍성초등학교,"/ (풍납동/풍성초등학교)"
서울풍납초등학교,(풍납동)
서울평화초등학교,"/ 서울평화초등학교 (가락동)"
서울토성초등학교,"/ 서울토성초등학교 (풍납동)"
서울천호초등학교,(천호동/서울천호초등학교)
서울천일초등학교,"/ 서울천일초등학교 (천호동)"
서울천동초등학교,"/ 서울천동초등학교 (길동)"
서울중대초등학교,(송파동)
서울잠현초등학교,"/ 서울잠현초등학교 (신천동)"
서울잠전초등학교,"/ 서울잠전초등학교 (잠실동)"
서울잠일초등학교,"/ 서울잠일초등학교 (잠실동)"
서울잠실초등학교,(신천동/잠실초등학교)
서울잠신초등학교,"/ 서울잠신초등학교 (잠실동)"
서울잠동초등학교,"(신천동/ 잠동초등학교)"
서울위례초등학교,(둔촌동)
서울오륜초등학교,"/ 서울오륜초등학교 (방이동)"
서울오금초등학교,"(오금동/ 서울오금초등학교)"
서울영풍초등학교,"/ 서울영풍초등학교 (거여동)"
서울아주초등학교,"/ 서울아주초등학교 (잠실동)"
서울신천초등학교,"(잠실동/ 주공아파트)"
서울신암초등학교,"/ 서울신암초등학교 (암사동)"
서울신명초등학교,"/ 서울신명초등학교 (길동)"
서울신가초등학교,"/ 서울신가초등학교 (가락동)"
서울송파초등학교,(송파동)
서울송전초등학교,(잠실동)
서울송례초등학교,(장지동)
서울세륜초등학교,"/ 서울세륜초등학교 (방이동)"
서울성일초등학교,"/ 서울성일초등학교 (성내동)"
서울성내초등학교,"(성내동/ 서울성내초등학교)"
서울선사초등학교,"/ 서울선사초등학교 (암사동/ 서울선사초등학교)"
서울선린초등학교,"/ 서울선린초등학교 (둔촌동)"
서울석촌초등학교,"/ 서울석촌초등학교 (석촌동)"
서울상일초등학교,(상일동)
서울삼전초등학교,(삼전동)
서울버들초등학교,"/ 서울버들초등학교 (잠실동)"
서울방이초등학교,"/ 서울방이초등학교 (방이동)"
서울방산초등학교,(방이동)
서울문현초등학교,"/ (서울문현초등학교) (장지동)"
서울문정초등학교,"/ 문정초등학교 (문정동)"
서울문덕초등학교,(문정동)
서울묘곡초등학교,(고덕동)
서울명일초등학교,"(암사동/ 서울명일초등학교)"
서울명원초등학교,"/ 서울명원초등학교 (명일동)"
서울명덕초등학교,"/ 서울명덕초등학교 (고덕동)"
서울마천초등학교,"/ 서울마천초등학교 (마천동)"
서울둔촌초등학교,"/ 서울둔촌초등학교 (둔촌동)"
서울대명초등학교,(명일동/서울대명초등학교)
서울남천초등학교,(마천동)
서울길동초등학교,"/ 서울길동초등학교 (길동)"
서울고일초등학교,"/ 서울고일초등학교 (상일동)"
서울고명초등학교,"/ 서울고명초등학교 (명일동)"
서울고덕초등학교,"/ 고덕초등학교 (고덕동)"
서울거원초등학교,(거여동/거원초등학교)
서울거여초등학교,"(오금동/ 거여초등학교)"
서울개롱초등학교,"/ 서울개롱초등학교 (오금동)"
서울강일초등학교,"/ 서울강일초등학교 (강일동)"
서울강명초등학교,(상일동)
서울강동초등학교,(천호동/서울강동초등학교)
서울강덕초등학교,"(고덕동/ 서울강덕초등학교)"
서울가주초등학교,"/ 서울가주초등학교 (가락동/ 가주초등학교)"
서울가원초등학교,"(문정동/ 가원초등학교)"
서울가락초등학교,"(가락동/ 가락초등학교)"
서울가동초등학교,(가락동)
솔샘중학교,"(미아동/ 솔샘중.고등학교)"
서울대학교사범대학부설중학교,(종암동)
숭곡중학교,"/ 숭곡중학교 (하월곡동)"
영훈국제중학교,(미아동/학교법인영훈학원)
홍익대학교사범대학부속중학교,"/ 홍익대학교사범대학부속중학교 (성북동/홍익대학교부속중고등학교)"
한성여자중학교,(삼선동2가/한성여자중학교)
창문여자중학교,"(송중동/ 창문여자중고등학교)"
신일중학교,(미아동/신일중고등학교)
성암여자중학교,(미아동/학교법인성암학원)
성신여자중학교,(돈암동/성신여자중학교)
서라벌중학교,"/ 서라벌중학교 (우이동)"
동구여자중학교,(성북동/동구여자중학교)
남대문중학교,"(장위동/ 남대문중학교)"
고명중학교,(돈암동/고명중학교)
고려대학교사범대학부속중학교,(정릉동/고려대학교사범대학부속중학교)
길음중학교,"/ 길음중학교 (길음동)"
화계중학교,(수유동)
종암중학교,(종암동/종암중학교)
장위중학교,(장위동/장위중학교)
인수중학교,"(수유동/ 인수중학교)"
월곡중학교,(상월곡동/월곡중학교)
용문중학교,"(안암동2가/ 용문중고등학교)"
수유중학교,(수유동/수유중학교)
수송중학교,(번동/수송중학교)
석관중학교,(석관동/석관중학교)
삼선중학교,(동소문동4가/삼선중학교)
삼각산중학교,"/ 삼각산중학교 (미아동)"
북악중학교,(정릉동/북악중학교)
번동중학교,(번동/번동중학교)
개운중학교,(돈암동/개운중학교)
강북중학교,"(수유동/ 강북중학교)"
우촌초등학교,(돈암동/우촌초등학교)
영훈초등학교,(미아동/학교법인영훈학원)
성신초등학교,(돈암동/성신초등학교)
매원초등학교,(돈암동)
대광초등학교,(보문동7가/대광초등학교)
광운초등학교,"/ 광운초등학교 (장위동/ 광운초등학교)"
서울화계초등학교,(미아동)
서울청덕초등학교,(정릉동/서울청덕초등학교)
서울정수초등학교,(정릉동/서울정수초등학교)
서울정릉초등학교,(정릉동/서울정릉초등학교)
서울정덕초등학교,(동소문동7가/서울정덕초등학교)
서울장위초등학교,(장위동/서울장위초등학교)
서울장월초등학교,"(장위동/ 서울장월초등학교)"
서울장곡초등학교,(장위동/서울장곡초등학교)
서울일신초등학교,(종암동/서울일신초등학교)
서울인수초등학교,(수유동/서울인수초등학교)
서울유현초등학교,(수유동/서울유현초등학교)
서울월곡초등학교,(장위동/서울월곡초등학교)
서울우이초등학교,(수유동/서울우이초등학교)
서울오현초등학교,(번동/오현초등학교)
서울안암초등학교,"(안암동2가/ 서울안암초등학교)"
서울숭인초등학교,(하월곡동/서울숭인초등학교)
서울숭례초등학교,(종암동/서울숭례초등학교)
서울숭덕초등학교,(정릉동/서울숭덕초등학교)
서울숭곡초등학교,(하월곡동/서울숭곡초등학교)
서울수유초등학교,"/ 수유초등학교"
서울수송초등학교,(번동)
서울송천초등학교,(미아동/서울송천초등학교)
서울송중초등학교,(미아동/송중초등학교)
서울성북초등학교,(성북동/서울성북초등학교)
서울석관초등학교,"/ 서울석관초등학교 (석관동/서울석관초등학교)"
서울석계초등학교,(석관동)
서울삼양초등학교,(미아동/삼양초등학교)
서울삼선초등학교,(삼선동3가/서울삼선초등학교)
서울삼각산초등학교,(미아동/삼각산초등학교)
서울번동초등학교,(번동/번동초등학교)
서울미양초등학교,(미아동/미양초등학교)
서울미아초등학교,"(길음동/ 서울미아초등학교)"
서울동신초등학교,(보문동3가/서울동신초등학교)
서울돈암초등학교,(동소문동6가/서울돈암초등학교)
서울길음초등학교,(길음동/서울길음초등학교)
서울길원초등학교,"/ 서울길원초등학교 (길음동)"
서울개운초등학교,(돈암동/서울개운초등학교)
서울개현초등학교,(개포동)
내곡중학교,(신원동)
서울자곡초등학교,(자곡동)
서울율현초등학교,"/ 서울율현초등학교 (자곡동)"
세곡중학교,"(자곡동/ 세곡중학교)"
서울우솔초등학교,"/ 서울우솔초등학교 (우면동)"
서울세명초등학교,"/ 서울세명초등학교 (세곡동)"
휘문중학교,(대치동)
진선여자중학교,"(역삼동/ 진선여자중학교)"
중동중학교,중동중학교
은성중학교,(도곡동/은광여자고등학교)
숙명여자중학교,"/ 숙명여자중학교"
세화여자중학교,"/ 세화여자중학교 (반포동/강당)"
서문여자중학교,(방배동)
동덕여자중학교,(방배동/동덕여자중고등학교)
단국대학교사범대학부속중학교,(대치동)
청담중학교,(청담동/청담중학교)
이수중학교,(방배동/이수중학교)
원촌중학교,(반포동/원촌중학교)
영동중학교,(우면동/영동중학교)
역삼중학교,(역삼동/역삼중학교)
언주중학교,"/ 언주중학교"
언북중학교,(논현동/언북중학교)
언남중학교,(양재동/언남중학교)
압구정중학교,"/ 압구정중학교 (압구정동/압구정중학교)"
신사중학교,(압구정동/신사중학교)
신반포중학교,"/ 신반포중학교 (반포동/신반포중학교)"
신동중학교,"/ 신동중학교 (잠원동/신동중학교)"
신구중학교,(신사동/신구중학교)
수서중학교,(수서동/수서중학교)
서초중학교,(서초동/서초중학교)
서일중학교,(서초동/서일중학교)
서운중학교,(서초동/서운중학교)
봉은중학교,(삼성동)
방배중학교,(반포동/방배중학교)
반포중학교,"(반포동,반포중학교)"
도곡중학교,(도곡동/도곡중학교)
대치중학교,(도곡동/대치중학교)
대청중학교,"(대치동/ 대청중학교)"
대왕중학교,"(수서동/ 대왕중학교)"
대명중학교,"(대치동/ 대명중학교)"
구룡중학교,(개포동/구룡중학교)
경원중학교,(잠원동/경원중학교)
개포중학교,(개포동/개포중학교)
개원중학교,"/ 개원중학교 (개포동/개원중학교)"
서울우면초등학교,59
서울학동초등학교,"/ 서울학동초등학교 (논현동)"
서울포이초등학교,"/ 서울포이초등학교 (개포동/포이초등학교)"
서울청담초등학교,(청담동/청담초등학교)
서울잠원초등학교,"(반포동/ 잠원초등학교)"
서울일원초등학교,(일원동/일원초등학교)
서울이수초등학교,"서울이수초등학교 (방배동/이수초등학교)"
서울원촌초등학교,(반포동/서울원촌초등학교)
서울원명초등학교,(서초동/원명초등학교)
서울우암초등학교,(우면동/우암초등학교)
서울왕북초등학교,(수서동/왕북초등학교)
서울영희초등학교,(일원동/영희초등학교)
서울역삼초등학교,(역삼동/역삼초등학교)
서울언주초등학교,(도곡동/언주초등학교)
서울언북초등학교,(청담동/언북초등학교)
서울언남초등학교,(내곡동)
서울양전초등학교,"/ 서울양전초등학교"
서울양재초등학교,(양재동/양재초등학교)
서울압구정초등학교,(압구정동/압구정초등학교)
서울신중초등학교,(서초동/서울신중초등학교)
서울신동초등학교,(잠원동/신동초등학교)
서울신구초등학교,(신사동/신구초등학교)
서울수서초등학교,(수서동/수서초등학교)
서울서초초등학교,(서초동/서초초등학교)
서울서일초등학교,(서초동/서일초등학교)
서울서이초등학교,(서초동/서이초등학교)
서울서원초등학교,"/ 서울서원초등학교 (반포동)"
서울서래초등학교,(방배동/서래초등학교)
서울삼릉초등학교,(삼성동/삼릉초등학교)
서울봉은초등학교,(삼성동/봉은초등학교)
서울방현초등학교,(방배동/방현초등학교)
서울방일초등학교,(방배동)
서울방배초등학교,(방배동/방배초등학교)
서울반포초등학교,"/ 서울반포초등학교 (반포동/반포초등학교)"
서울반원초등학교,(잠원동/반원초등학교)
서울매헌초등학교,(양재동/매헌초등학교)
서울도성초등학교,(역삼동/도성초등학교)
서울도곡초등학교,"(대치동/ 도곡초등학교)"
서울대현초등학교,(대치동/대현초등학교)
서울대치초등학교,"(대치동/ 대치초등학교)"
서울대청초등학교,"/ 서울대청초등학교 (일원동)"
서울대진초등학교,"/ 서울대진초등학교 (개포동)"
서울대왕초등학교,(세곡동/대왕초등학교)
서울대모초등학교,"/ 대모초등학교 (일원동/대모초등학교)"
서울대도초등학교,"(도곡동/ 서울대도초등학교)"
서울대곡초등학교,"/ 서울대곡초등학교 (대치동/대곡초등학교)"
서울논현초등학교,(논현동/논현초등학교)
서울구룡초등학교,(개포동/구룡초등학교)
서울개포초등학교,"(개포동/ 개포초등학교)"
서울개일초등학교,"/ 개일초등학교 (개포동/개일초등학교)"
서울개원초등학교,(개포동/개원초등학교)
계성초등학교,"/ 계성초등학교 (반포동)"
서울교육대학교부설초등학교,(서초동/서울교대초등학교)
여명학교(중),(남산동2가)
마곡하늬중학교,(마곡동)
화곡중학교,(내발산동/화곡중학교)
영도중학교,"/ 영도중학교 (목동/강서고등학교)"
양정중학교,"(목동/ 양정고등학교)"
신정여자중학교,신정여자중학교
봉영여자중학교,(신정동/봉영여자중학교)
명덕여자중학교,(내발산동)
마포중학교,"/ 마포중학교 (전화 02-3663-2587)"
등촌중학교,(등촌동/등촌중학교)
덕원중학교,(내발산동/덕원중학교)
마곡중학교,(마곡동)
화원중학교,(화곡동/화원중학교)
월촌중학교,(목동/서울월촌중학교)
염창중학교,(염창동/염창중학교)
염경중학교,(염창동/염경중학교)
양천중학교,(신월동/양천중학교)
양서중학교,(신월동/양서중학교)
양동중학교,(목동/양동중학교)
양강중학교,(신월동)
신화중학교,", 신화중학교 (신월동)"
신월중학교,"/ 신월중학교 (신월동)"
신원중학교,(신월동/신원중학교)
신서중학교,(신정동/신서중학교)
신목중학교,(목동/신목중학교)
신남중학교,(신월동/신남중학교)
수명중학교,(내발산동/수명중학교)
송정중학교,(공항동/송정중학교)
성재중학교,(가양동/성재중학교)
삼정중학교,(방화동/삼정중학교)
백석중학교,(등촌동/백석중학교)
방화중학교,(방화동)
방원중학교,"/ 방원중학교 (방화동/방원중학교)"
목일중학교,(신정동/목일중학교)
목운중학교,(목동/목운초.중학교)
목동중학교,(신정동/목동중학교)
등원중학교,(등촌동/등원중학교)
등명중학교,(등촌동/등명중학교)
금옥중학교,"/ 금옥중학교 (신정동)"
공항중학교,(공항동/공항중학교)
경서중학교,(가양동)
강신중학교,(신월동/강신중학교)
유석초등학교,(등촌동/유석초등학교)
서울신은초등학교,(신정동)
서울화일초등학교,(화곡동/서울화일초등학교)
서울화곡초등학교,화곡동/화곡초등학교
서울탑산초등학교,(가양동/탑산초등학교)
서울치현초등학교,서울치현초등학교
서울지향초등학교,"/ 서울지향초등학교 (신정동/지향초등학교)"
서울정목초등학교,(목동/서울정목초등학교)
서울정곡초등학교,(방화동/정곡초등학교)
서울장수초등학교,(신정동)
서울은정초등학교,서울은정초등학교
서울월촌초등학교,(목동/서울월촌초등학교)
서울월정초등학교,(화곡동/월정초등학교)
서울우장초등학교,(화곡동/우장초등학교)
서울영도초등학교,"/ 서울영도초등학교 (목동/서울영도초등학교)"
서울염창초등학교,"(염창동/ 염창초등학교)"
서울염동초등학교,(염창동/염동초등학교)
서울염경초등학교,(염창동/서울염경초등학교)
서울양화초등학교,(목동/서울양화초등학교)
서울양천초등학교,(가양동/양천초등학교)
서울양원초등학교,(신월동/서울양원초등학교)
서울양목초등학교,"(신정동/ 서울양목초등학교)"
서울양명초등학교,(신정동/양명초등학교)
서울양동초등학교,(신정동)
서울양강초등학교,"(신월동/ 서울양강초등학교)"
서울신정초등학교,(화곡동)
서울신월초등학교,(화곡동/신월초등학교)
서울신원초등학교,(신월동/서울신원초등학교)
서울신서초등학교,"(신정동 312-1번지)"
서울신목초등학교,(신정동/서울신목초등학교)
서울신남초등학교,"/ 44 (신월동)"
서울신기초등학교,(신정동/서울신기초등학교)
서울신곡초등학교,(화곡동/신곡초등학교)
서울신강초등학교,"/ 서울신강초등학교 (신월동/서울신강초등학교)"
서울수명초등학교,(내발산동)
서울송화초등학교,(방화동/송화초등학교)
서울송정초등학교,(공항동)
서울서정초등학교,(목동/서울서정초등학교)
서울삼정초등학교,"/ 서울삼정초등학교 (방화동)"
서울백석초등학교,(등촌동/백석초등학교)
서울방화초등학교,(방화동)
서울발산초등학교,(내발산동/발산초등학교)
서울목원초등학교,(목동/목원초등학교)
서울목운초등학교,"/ 서울목운초등학교 (목동)"
서울목동초등학교,(신정동/서울목동초등학교)
서울등현초등학교,(등촌동/등현초등학교)
서울등촌초등학교,(등촌동/등촌초등학교)
서울등원초등학교,"/ 서울등원초등학교 (등촌동)"
서울등양초등학교,"/ 등양초등학교 (등촌동/등양초등학교)"
서울등서초등학교,(화곡동/등서초등학교)
서울등명초등학교,(등촌동/등명초등학교)
서울등마초등학교,(등촌동/서울등마초등학교)
서울내발산초등학교,(내발산동/내발산초등학교)
서울남명초등학교,(신정동/서울남명초등학교)
서울공항초등학교,(마곡동)
서울공진초등학교,"/ 서울공진초등학교 (마곡동 749-2)"
서울계남초등학교,"/ 서울계남초등학교 (신정동/서울계남초등학교)"
서울경인초등학교,(목동/서울경인초등학교)
서울개화초등학교,(방화동/개화초등학교)
서울강월초등학교,(신월동/서울강월초등학교)
서울강신초등학교,"/ 서울강신초등학교 (신월동/서울강신초등학교)"
서울강서초등학교,"(신월동/ 서울강서초등학교)"
서울갈산초등학교,"/ 서울갈산초등학교 (신정동)"
서울가양초등학교,"/ (가양동/가양초등학교)"
서울가곡초등학교,(내발산동/가곡초등학교)
서울대학교사범대학부설여자중학교,"/ 서울대학교사범대학부설여자중학교 (이화동)"
서울대학교사범대학부설초등학교,(동숭동/서울사대부설초등학교)
환일중학교,(만리동2가)
한양중학교,(신당동)
한강중학교,(서빙고동)
청운중학교,(청운동)
창덕여자중학교,"/ 창덕여자중학교 (정동)"
중앙중학교,(계동)
장충중학교,(신당동)
장원중학교,(신당동)
용산중학교,(용산동2가)
용강중학교,(이촌동)
오산중학교,(보광동/오산중학교)
예원학교,(정동)
신광여자중학교,(청파동3가)
성심여자중학교,"/ 성심여자중학교 (원효로4가)"
선린중학교,(청파동3가)
상명대학교사범대학부속여자중학교,(홍지동)
보성여자중학교,(용산동2가)
배화여자중학교,"/ 배화여자중학교 (필운동)"
배문중학교,"/ 배문중학교 (서계동)"
동성중학교,(혜화동)
덕수중학교,(인현동2가/덕수중학교)
덕성여자중학교,(송현동)
대신중학교,(행촌동)
대경중학교,(신당동)
금호여자중학교,", 금호여자중학교 본관동(주1) (신당동)"
경신중학교,(혜화동/경신중고등학교)
운현초등학교,(운니동/운현초등학교)
신광초등학교,"/ 신광초등학교 청파동 3가 100 (청파동3가)"
숭의초등학교,"/ 숭의초등학교 (예장동)"
서울흥인초등학교,(신당동/흥인초등학교)
서울후암초등학교,"/ 서울후암초등학교 (후암동)"
서울효제초등학교,"/ 서울효제초등학교 (효제동)"
서울혜화초등학교,"/ 서울혜화초등학교 (혜화동)"
서울한남초등학교,"/ 서울한남초등학교 (한남동)"
서울한강초등학교,"/ 서울한강초등학교 (한강로3가)"
서울충무초등학교,(장충동2가/충무초등학교)
서울청파초등학교,"/ 서울청파초등학교 (청파동2가)"
서울청운초등학교,"/ 청운초등학교 (청운동)"
서울청구초등학교,(신당동/청구초등학교)
서울창신초등학교,"/ 서울창신초등학교 (창신동)"
서울재동초등학교,"/ 서울재동초등학교 (가회동)"
서울장충초등학교,"/ 서울장충초등학교 (신당동)"
서울이태원초등학교,(이태원동/이태원초등학교)
서울원효초등학교,"/ 서울원효초등학교 (산천동/원효초등학교)"
서울용암초등학교,"(용산동2가/ 용암초등학교)"
서울용산초등학교,(한강로2가/용산초등학교)
서울신용산초등학교,"/ 301-75번지 (이촌동)"
서울신당초등학교,(신당동)
서울세검정초등학교,(신영동/서울세검정초등학교)
서울서빙고초등학교,"/ 서울서빙고초등학교 (서빙고동)"
서울삼광초등학교,"/ 서울삼광초등학교 (후암동)"
서울봉래초등학교,(만리동2가)
서울보광초등학교,(이태원동/보광초등학교)
서울명신초등학교,(창신동)
서울매동초등학교,"/ 서울매동초등학교 (필운동)"
서울독립문초등학교,(무악동)
서울덕수초등학교,"/ 서울덕수초등학교 (정동)"
서울남정초등학교,"/ 서울남정초등학교 (원효로2가)"
서울남산초등학교,"/ 서울남산초등학교 (남산동2가)"
